cpu_usage,memory_usage,disk_usage,process_count,browser_count,python_running,cmd_running,powershell_running,unknown_process_count,high_cpu_process_count,high_memory_process_count,total_alerts,risk_label
60.6,93.6,28.5,69,2,1,1,1,0,0,0,0,LOW
41.2,94.1,28.5,70,2,1,1,1,0,0,0,0,LOW
43.0,93.4,28.5,70,2,1,1,1,0,0,0,0,LOW
97.7,95.4,28.5,70,2,1,1,1,0,0,0,2,HIGH
75.3,98.2,28.5,74,2,1,1,1,0,1,0,1,HIGH
83.0,98.1,28.5,74,2,1,1,1,0,1,0,1,HIGH
95.4,95.6,28.5,76,2,1,1,1,0,2,0,2,HIGH
29.1,96.1,28.5,75,2,1,1,1,0,2,0,1,HIGH
94.4,98.7,28.5,75,2,1,1,1,0,0,0,2,HIGH
38.3,95.9,28.5,75,2,1,1,1,0,0,0,1,HIGH
43.9,95.6,28.5,75,2,1,1,1,0,0,0,1,HIGH
58.2,97.2,28.5,75,2,1,1,1,0,0,0,1,HIGH
27.1,94.2,28.5,75,2,1,1,1,0,0,0,0,LOW
40.7,90.1,28.5,75,2,1,1,1,0,0,0,0,LOW
37.5,88.7,28.5,76,2,1,1,1,0,0,0,0,LOW
79.7,94.0,28.5,75,2,1,1,1,0,0,0,0,LOW
33.2,93.0,28.5,75,2,1,1,1,0,0,0,0,LOW
40.6,94.0,28.5,75,2,1,1,1,0,0,0,0,LOW
66.0,95.6,28.5,75,2,1,1,1,0,0,0,1,HIGH
45.2,95.0,28.5,75,2,1,1,1,0,0,0,1,HIGH
21.2,88.0,28.5,75,2,1,1,1,0,0,0,0,LOW
25.3,87.1,28.5,75,2,1,1,1,0,0,0,0,LOW
49.6,90.0,28.5,75,2,1,1,1,0,0,0,0,LOW
66.2,88.1,28.5,75,2,1,1,1,0,0,0,0,LOW
66.8,89.9,28.5,75,2,1,1,1,0,1,0,0,LOW
60.2,88.1,28.5,75,2,1,1,1,0,0,0,0,LOW
40.2,94.0,28.5,75,2,1,1,1,0,0,0,0,LOW
29.6,91.0,28.5,75,2,1,1,1,0,0,0,0,LOW
29.9,91.9,28.5,75,2,1,1,1,0,1,0,0,LOW
57.3,93.0,28.5,75,2,1,1,1,0,0,0,0,LOW
36.7,93.6,28.5,75,2,1,1,1,0,1,0,0,LOW
88.5,92.0,28.7,74,2,1,1,1,0,5,0,0,LOW
42.0,92.1,28.7,74,2,1,1,1,0,2,0,0,LOW
92.9,93.0,28.6,74,2,1,1,1,0,3,0,1,HIGH
19.1,92.2,28.5,74,2,1,1,1,0,2,0,0,LOW
19.5,92.1,28.5,74,2,1,1,1,0,0,0,0,LOW
32.7,92.1,28.5,74,2,1,1,1,0,0,0,0,LOW
99.5,98.0,28.5,76,2,1,1,1,0,0,0,2,HIGH
28.6,93.5,28.5,76,2,1,1,1,0,0,0,0,LOW
32.2,93.0,28.5,76,2,1,1,1,0,0,0,0,LOW
34.5,93.4,28.5,76,2,1,1,1,0,0,0,0,LOW
49.0,88.0,28.5,76,2,1,1,1,0,1,0,0,LOW
23.8,90.5,28.5,76,2,1,1,1,0,0,0,0,LOW
62.9,92.9,28.5,76,2,1,1,1,0,0,0,0,LOW
37.6,94.5,28.5,77,2,1,1,1,0,0,0,0,LOW
98.2,95.0,30.0,77,2,1,1,1,0,0,0,2,HIGH
18.8,95.4,30.0,77,2,1,1,1,0,0,0,1,HIGH
35.2,94.7,30.0,77,2,1,1,1,0,0,0,0,LOW
48.7,91.8,30.0,76,2,1,1,1,0,0,0,0,LOW
59.8,92.5,30.0,76,2,1,1,1,0,1,0,0,LOW
35.2,94.7,30.0,76,2,1,1,1,0,0,0,0,LOW
65.4,96.2,30.0,76,2,1,1,1,0,0,0,1,HIGH
45.4,94.4,30.0,76,2,1,1,1,0,0,0,0,LOW
81.2,96.3,30.0,76,2,1,1,1,0,0,0,1,HIGH
32.3,96.1,30.0,76,2,1,1,1,0,0,0,1,HIGH
59.9,94.5,30.0,76,2,1,1,1,0,0,0,0,LOW
45.7,95.0,30.0,76,2,1,1,1,0,0,0,1,HIGH
30.2,95.3,30.0,76,2,1,1,1,0,0,0,1,HIGH
23.0,91.8,30.0,75,2,1,1,1,0,0,0,0,LOW
20.0,93.7,29.6,75,2,1,1,1,0,0,0,0,LOW
17.2,93.6,29.6,75,2,1,1,1,0,0,0,0,LOW
77.3,93.4,29.6,75,2,1,1,1,0,0,0,0,LOW
44.0,95.0,29.6,75,2,1,1,1,0,0,0,1,HIGH
49.8,96.2,29.6,75,2,1,1,1,0,0,0,1,HIGH
20.4,92.2,29.6,75,2,1,1,1,0,0,0,0,LOW
42.9,95.1,29.6,75,2,1,1,1,0,0,0,1,HIGH
58.9,95.7,29.6,75,2,1,1,1,0,0,0,1,HIGH
48.3,96.1,29.6,75,2,1,1,1,0,0,0,1,HIGH
54.6,96.7,29.6,75,2,1,1,1,0,1,0,1,HIGH
68.1,95.6,29.6,75,2,1,1,1,0,0,0,1,HIGH
47.3,96.2,29.6,75,2,1,1,1,0,0,0,1,HIGH
76.8,93.3,29.6,75,2,1,1,1,0,1,0,0,LOW
60.1,87.2,29.6,75,2,1,1,1,0,0,0,0,LOW
100.0,87.9,29.6,74,2,1,1,1,0,0,0,1,HIGH
84.0,88.2,29.6,74,2,1,1,1,0,1,0,0,LOW
94.3,87.5,29.6,74,2,1,1,1,0,1,0,1,HIGH
80.8,86.9,29.6,74,2,1,1,1,0,1,0,0,LOW
88.2,86.7,29.6,74,2,1,1,1,0,1,0,0,LOW
83.5,88.4,29.6,74,2,1,1,1,0,1,0,0,LOW
89.6,88.7,29.6,74,2,1,1,1,0,1,0,0,LOW
88.2,89.3,29.6,74,2,1,1,1,0,1,0,0,LOW
91.7,87.8,29.6,74,2,1,1,1,0,1,0,1,HIGH
96.5,87.1,29.6,74,2,1,1,1,0,1,0,1,HIGH
81.7,87.2,29.6,74,2,1,1,1,0,1,0,0,LOW
95.1,85.9,29.6,74,2,1,1,1,0,0,0,1,HIGH
24.6,85.2,29.6,75,2,1,1,1,0,0,0,0,LOW
39.8,86.7,29.6,74,2,1,1,1,0,0,0,0,LOW
26.7,86.7,29.6,74,2,1,1,1,0,0,0,0,LOW
44.6,86.4,29.6,74,2,1,1,1,0,0,0,0,LOW
31.3,86.4,29.6,74,2,1,1,1,0,0,0,0,LOW
31.2,86.6,29.6,74,2,1,1,1,0,0,0,0,LOW
21.7,86.5,29.6,74,2,1,1,1,0,0,0,0,LOW
36.9,86.6,29.6,74,2,1,1,1,0,0,0,0,LOW
34.8,87.1,29.6,74,2,1,1,1,0,0,0,0,LOW
28.7,87.4,29.6,74,2,1,1,1,0,0,0,0,LOW
78.6,90.3,29.6,74,2,1,1,1,0,0,0,0,LOW
35.3,90.1,29.6,74,2,1,1,1,0,0,0,0,LOW
68.8,89.8,29.7,74,2,1,1,1,0,2,0,0,LOW
21.7,87.6,29.7,74,2,1,1,1,0,0,0,0,LOW
36.0,88.5,29.7,74,2,1,1,1,0,0,0,0,LOW
26.2,88.3,29.7,74,2,1,1,1,0,0,0,0,LOW
66.9,93.5,29.7,77,2,1,1,1,0,0,0,0,LOW
26.9,94.7,29.7,78,2,1,1,1,0,0,0,0,LOW
44.8,85.8,29.7,78,2,1,1,1,0,0,0,0,LOW
65.5,86.9,29.7,78,2,1,1,1,0,1,0,0,LOW
97.0,93.5,29.7,78,2,1,1,1,0,1,0,1,HIGH
70.4,92.5,29.7,79,2,1,1,1,0,1,0,0,LOW
62.5,95.0,29.7,79,2,1,1,1,0,1,0,1,HIGH
46.1,93.6,29.7,79,2,1,1,1,0,1,0,0,LOW
79.6,93.7,29.7,79,2,1,1,1,0,1,0,0,LOW
49.4,94.3,29.7,78,2,1,1,1,0,1,0,0,LOW
75.0,95.1,29.7,78,2,1,1,1,0,1,0,1,HIGH
66.0,95.6,29.8,78,2,1,1,1,0,1,0,1,HIGH
69.0,94.1,29.8,78,2,1,1,1,0,1,0,0,LOW
71.1,93.9,29.7,78,2,1,1,1,0,1,0,0,LOW
52.9,95.3,29.7,78,2,1,1,1,0,1,0,1,HIGH
42.1,93.9,29.7,78,2,1,1,1,0,1,0,0,LOW
61.5,92.6,29.7,78,2,1,1,1,0,1,0,0,LOW
40.9,92.6,29.7,78,2,1,1,1,0,1,0,0,LOW
65.6,92.3,29.7,78,2,1,1,1,0,1,0,0,LOW
67.0,93.9,29.7,78,2,1,1,1,0,1,0,0,LOW
58.5,93.8,29.7,77,2,1,1,1,0,1,0,0,LOW
89.6,95.0,29.7,77,2,1,1,1,0,0,0,1,HIGH
98.5,94.1,29.7,78,2,1,1,1,0,1,0,1,HIGH
89.5,95.0,29.7,78,2,1,1,1,0,1,0,1,HIGH
84.2,93.2,29.7,75,2,1,1,1,0,1,0,0,LOW
69.5,88.2,29.7,75,2,1,1,1,0,1,0,0,LOW
